"n_subject","effect","true","power","power_mcse","power_lo","power_hi","n_significant","type_s","type_m","n_attempted","n_returned","n_converged","n_singular","n_warning"
8,"effect",0.06,0.14,0.0490713765855412,0.0695083342701629,0.261861937105855,7,0,1.90951833990193,50,50,8,42,42
12,"effect",0.06,0.28,0.0634980314655502,0.174741706659112,0.416651236959566,14,0,1.49902810529164,50,50,7,43,43
16,"effect",0.06,0.4,0.0692820323027551,0.276083897302565,0.538185622524106,20,0,1.36212553911731,50,50,14,36,36
24,"effect",0.06,0.7,0.0648074069840786,0.562496495355466,0.808964464991191,35,0,1.17412883696372,50,50,12,38,38
32,"effect",0.06,0.9,0.0424264068711928,0.786397685625204,0.95652423506811,45,0,1.05488474686396,50,50,12,38,38
44,"effect",0.06,0.92,0.0383666521865017,0.811617530816572,0.968450485911407,46,0,1.04574286239521,50,50,17,33,33
56,"effect",0.06,0.98,0.0197989898732233,0.895045564103622,0.996460740728354,49,0,1.01162242509545,50,50,18,32,32
