"n_subject","param","true","mean_ci_width","p_meaningful","p_meaningful_mcse","p_meaningful_lo","p_meaningful_hi","p_equivalent","p_equivalent_mcse","p_equivalent_lo","p_equivalent_hi","n_attempted","n_returned","n_converged","n_singular","n_warning"
15,"effect",0.05,0.123546983321178,0.13,0.0237802439011882,0.0902820227966932,0.183663518722484,0,0,0,0.0188453263772666,200,200,41,159,159
30,"effect",0.05,0.0840238588584327,0.28,0.0317490157327751,0.22236889773949,0.345923045866507,0,0,0,0.0188453263772666,200,200,47,153,153
60,"effect",0.05,0.0595797204121262,0.51,0.0353482672842673,0.441185876784586,0.578437216687868,0,0,0,0.0188453263772666,200,200,75,125,125
100,"effect",0.05,0.0478514531002445,0.645,0.0338360015368246,0.576521130754904,0.708013724595688,0,0,0,0.0188453263772666,200,200,110,90,90
140,"effect",0.05,0.0417442605790915,0.825,0.0268677315752558,0.76635568851751,0.871394849337267,0,0,0,0.0188453263772666,200,200,125,75,75
180,"effect",0.05,0.0368943069910175,0.915,0.019719913792915,0.868104129284344,0.946254249822524,0,0,0,0.0188453263772666,200,200,129,71,71
220,"effect",0.05,0.0345490488638238,0.93,0.0180416185526687,0.885945191143894,0.957847828171657,0,0,0,0.0188453263772666,200,200,149,51,51
260,"effect",0.05,0.0318270054637649,0.95,0.0154110350074224,0.910421851861224,0.972617354399236,0,0,0,0.0188453263772666,200,200,152,48,48
